Date,Max_Temperature_F,Mean_Temperature_F,Min_TemperatureF,Mean_Humidity,Mean_Sea_Level_Pressure_In,Mean_Wind_Speed_MPH,Precipitation_In,Events
10/13/2014,71,62,54,68,29.79,4,0,Rain
10/14/2014,63,59,55,78,29.75,5,0.11,Rain
10/15/2014,62,58,54,77,29.71,7,0.45,Rain
10/16/2014,71,61,52,61,29.95,4,0,Rain
10/17/2014,64,60,57,72,29.78,3,0.14,Rain
10/18/2014,68,64,59,83,29.9,4,0.31,Rain
10/19/2014,73,64,55,74,29.73,3,0,
10/20/2014,66,60,55,78,29.74,5,0.44,Rain
10/21/2014,64,58,55,70,29.85,8,0.1,Rain
10/22/2014,60,58,57,81,29.68,8,1.43,Rain
10/23/2014,62,55,50,76,29.83,9,0.35,Rain
10/24/2014,60,56,51,75,29.96,4,0.13,Rain
10/25/2014,64,58,52,78,29.48,6,0.37,Rain
10/26/2014,59,52,48,71,29.98,12,0.05,Rain
10/27/2014,62,54,45,72,30.09,4,0.01,Rain
10/28/2014,62,56,51,80,29.88,5,0.34,Rain
10/29/2014,64,59,54,76,30.06,7,0.04,Rain
10/30/2014,62,58,55,82,29.83,2,0.67,Rain
10/31/2014,59,54,52,83,29.79,4,0.77,Rain
11/1/2014,55,52,48,78,29.92,1,0,
11/2/2014,57,51,45,82,30.1,5,0.11,Rain
11/3/2014,60,58,55,80,30.08,8,0.24,Rain
11/4/2014,61,58,55,79,30.14,6,0.05,Rain
11/5/2014,61,57,53,79,30.15,2,0.27,Rain
11/6/2014,64,60,54,75,29.99,8,0.22,Rain
11/7/2014,59,52,45,72,30.41,3,0,
11/8/2014,55,48,42,78,30.25,1,0,
11/9/2014,57,52,48,80,29.93,6,0.29,Rain
11/10/2014,54,48,43,71,30.17,2,0,
11/11/2014,48,42,36,42,30.28,5,0,
11/12/2014,46,39,32,24,30.25,8,0,
11/13/2014,48,40,30,30,30.01,4,0,
11/14/2014,48,38,28,48,30.15,2,0,
11/15/2014,48,38,27,51,30.46,1,0,
11/16/2014,50,39,28,53,30.45,1,0,
11/17/2014,52,41,30,60,30.31,1,0,
11/18/2014,48,39,30,75,30.13,1,0,
11/19/2014,52,44,36,66,29.93,2,0,Rain
11/20/2014,54,49,44,80,29.96,4,0.11,Rain
11/21/2014,55,52,50,79,29.58,7,0.67,Rain
11/22/2014,51,48,45,77,29.88,8,0.03,Rain
11/23/2014,57,50,44,74,30.18,10,0.42,Rain
11/24/2014,55,47,39,79,30.23,6,0.01,Rain
11/25/2014,60,56,51,83,30.17,6,0.33,Rain
11/26/2014,61,59,57,75,30.04,11,0.01,Rain
11/27/2014,62,58,55,70,29.81,12,0.04,Rain
11/28/2014,57,48,39,80,29.54,9,1.39,Rain
11/29/2014,42,35,27,67,29.84,6,0.06,"Rain , Snow"
11/30/2014,39,33,27,64,30.19,2,0,
12/1/2014,41,34,26,62,30.17,1,0,
12/2/2014,44,35,26,68,30.12,3,0,
12/3/2014,48,40,33,58,29.82,1,0,
12/4/2014,48,44,39,74,29.86,2,0.05,Rain
12/5/2014,54,50,46,82,29.91,2,0.09,Rain
12/6/2014,55,52,48,82,30.06,7,0.25,Rain
12/7/2014,55,49,43,80,30.12,0,0,Fog
12/8/2014,60,55,50,70,29.96,3,0.45,Rain
12/9/2014,63,57,51,76,29.81,8,0.42,Rain
12/10/2014,68,61,54,69,29.46,10,0.5,Rain
12/11/2014,60,55,50,69,29.31,8,0.33,Rain
12/12/2014,55,52,48,73,29.83,10,0,
12/13/2014,52,46,41,82,30.2,3,0.01,
12/14/2014,57,47,37,70,30.12,2,0,Fog
12/15/2014,55,48,42,41,29.9,6,0,
12/16/2014,52,48,44,53,29.84,5,0,Rain
12/17/2014,51,48,44,77,29.86,1,0.16,Rain
12/18/2014,51,48,46,83,29.86,4,0.6,Rain
12/19/2014,54,50,46,70,29.9,8,0.13,Rain
12/20/2014,57,52,46,83,29.58,7,0.6,Rain
12/21/2014,57,55,53,72,29.91,7,0,
12/22/2014,54,48,42,72,30.31,1,0,
12/23/2014,53,48,43,80,30.17,5,0.61,Rain
12/24/2014,46,44,41,80,29.98,5,0.12,Rain
12/25/2014,48,42,37,79,30.2,3,0,
12/26/2014,44,42,39,80,30.36,4,0,
12/27/2014,52,47,42,78,30.13,8,0.12,Rain
12/28/2014,46,44,41,79,30.17,5,0.06,Rain
12/29/2014,46,42,35,62,30.43,3,0,
12/30/2014,39,34,30,51,30.81,1,0,
12/31/2014,41,34,26,60,30.58,2,0,
1/1/2015,43,35,27,70,30.31,0,0,
1/2/2015,44,38,32,76,30.16,4,0.03,
1/3/2015,43,38,33,84,30.26,2,0,Rain
1/4/2015,54,48,41,84,30.14,7,0.22,Rain
1/5/2015,57,56,54,81,30.18,14,0.07,Rain
1/6/2015,55,50,46,84,30.29,2,0.01,Fog
1/7/2015,50,47,44,85,30.28,2,0,
1/8/2015,48,44,39,82,30.17,3,0,Fog
1/9/2015,50,44,39,86,30.09,2,0.01,"Fog , Rain"
1/10/2015,48,46,44,88,30.03,1,0.18,Rain
1/11/2015,51,48,46,85,30.14,1,0.06,"Fog , Rain"
1/12/2015,53,49,45,78,30.35,1,0,Rain
1/13/2015,48,44,41,80,30.43,2,0,
1/14/2015,46,42,37,77,30.24,3,0,
1/15/2015,46,41,36,73,30.03,3,0.43,Rain
1/16/2015,55,50,44,71,30.08,8,0,
1/17/2015,55,46,39,84,29.89,1,0.76,Rain
1/18/2015,60,54,48,73,30.04,14,0.23,Rain
1/19/2015,52,49,46,76,30.39,5,0.03,Rain
1/20/2015,51,46,39,76,30.41,1,0,
1/21/2015,48,40,33,81,30.29,1,0,Fog
1/22/2015,52,48,45,81,30.33,1,0.03,Rain
1/23/2015,57,54,50,84,30.32,6,0.08,Rain
1/24/2015,62,58,55,82,30.26,7,0.02,
1/25/2015,64,57,50,77,30.11,3,0.01,
1/26/2015,64,55,46,77,29.95,4,0,Fog
1/27/2015,55,52,50,83,30.1,6,0.02,Rain
1/28/2015,55,50,46,76,30.36,2,0,
1/29/2015,55,48,42,71,30.34,1,0,
1/30/2015,48,44,39,85,30.3,1,0,Fog
1/31/2015,46,42,39,83,30.22,1,0,Fog
2/1/2015,51,48,44,82,30.06,5,0.04,Rain
2/2/2015,55,50,44,79,29.94,5,0.3,Rain
2/3/2015,52,48,44,83,30.08,5,0.03,"Fog , Rain"
2/4/2015,52,47,42,84,29.95,2,0.3,"Fog , Rain"
2/5/2015,59,54,48,83,29.54,7,0.87,Rain
2/6/2015,60,56,53,78,29.4,10,0.75,Rain
2/7/2015,57,54,51,81,29.56,6,0.82,Rain
2/8/2015,60,54,48,72,29.82,5,0.15,Rain
2/9/2015,57,52,48,80,29.78,4,0.15,Rain
2/10/2015,57,52,48,73,30.23,9,0.02,Rain
2/11/2015,57,51,45,78,30.2,1,0,
2/12/2015,72,62,51,70,30.24,4,0.02,Rain
2/13/2015,61,54,46,80,30.18,1,0,Rain
2/14/2015,60,54,48,75,30.36,2,0.05,Rain
2/15/2015,55,48,42,72,30.4,3,0,
2/16/2015,61,53,45,63,30.3,4,0,
2/17/2015,60,52,44,57,30.17,1,0,
2/18/2015,57,48,39,67,30.22,5,0,
2/19/2015,54,51,48,79,30.26,2,0.03,Rain
2/20/2015,54,52,50,77,30.28,0,0.02,Rain
2/21/2015,55,50,44,67,30.33,3,0,
2/22/2015,54,45,36,62,30.43,1,0,
2/23/2015,55,44,33,57,30.41,1,0,
2/24/2015,54,45,36,62,30.38,3,0,
2/25/2015,52,49,46,79,30.36,3,0.07,Rain
2/26/2015,54,51,48,81,30.1,2,0.22,Rain
2/27/2015,54,51,48,75,29.79,4,0.73,Rain
2/28/2015,55,47,37,47,30.16,5,0,
3/1/2015,54,44,35,56,30.13,3,0,
3/2/2015,54,49,39,58,30.05,6,0,
3/3/2015,52,42,32,53,30.23,3,0,
3/4/2015,55,44,32,49,30.29,2,0,
3/5/2015,59,48,37,55,30.36,3,0,
3/6/2015,59,49,39,63,30.39,1,0,
3/7/2015,62,50,37,66,30.31,2,0,Rain
3/8/2015,63,50,37,67,30.19,1,0,
3/9/2015,57,49,41,73,30.1,3,0,
3/10/2015,60,50,44,76,29.93,4,0,"Fog , Rain"
3/11/2015,62,56,51,75,29.98,6,0.09,Rain
3/12/2015,66,60,53,66,30.33,8,0,
3/13/2015,66,59,52,63,30.1,2,0.04,Rain
3/14/2015,61,58,54,76,29.9,7,0.54,Rain
3/15/2015,54,50,46,84,29.8,4,2.2,Rain
3/16/2015,57,52,46,71,30.19,4,0,
3/17/2015,60,51,43,73,30.1,3,0.03,Rain
3/18/2015,63,54,46,64,30.26,4,0,
3/19/2015,63,56,48,63,30.1,4,0.01,Rain
3/20/2015,60,56,51,74,29.93,2,0.12,Rain
3/21/2015,59,55,50,67,30.04,9,0.13,Rain
3/22/2015,55,49,43,76,29.99,2,0.07,Rain
3/23/2015,54,48,42,81,29.95,4,0.2,"Fog , Rain"
3/24/2015,59,52,46,72,30.12,4,0.27,Rain
3/25/2015,61,54,48,78,30.24,7,0.15,Rain
3/26/2015,72,62,52,67,30.23,5,0,
3/27/2015,69,59,50,70,30.02,4,0.01,Rain
3/28/2015,64,58,52,63,30.23,13,0,
3/29/2015,63,57,51,63,30.23,7,0,
3/30/2015,66,60,55,64,30,7,0.02,Rain
3/31/2015,57,50,46,72,30.06,7,0.31,Rain
4/1/2015,57,50,44,73,30.27,5,0.05,Rain
4/2/2015,59,50,43,66,30.37,3,0,Rain
4/3/2015,55,49,44,68,30.2,7,0.05,Rain
4/4/2015,57,48,39,58,30.08,4,0,
4/5/2015,63,50,39,56,29.76,2,0,
4/6/2015,60,52,46,58,29.81,6,0,Rain
4/7/2015,59,54,48,63,29.86,4,0.01,Rain
4/8/2015,64,54,46,62,30.07,3,0,
4/9/2015,66,54,45,61,30.08,5,0,
4/10/2015,60,54,48,68,29.87,6,0.52,Rain
4/11/2015,55,50,44,65,29.95,8,0.02,Rain
4/12/2015,59,52,46,57,30.17,6,0,
4/13/2015,54,48,42,80,29.95,4,0.46,Rain
4/14/2015,55,47,39,78,30.25,8,0.05,Rain
4/15/2015,59,49,39,57,30.51,4,0,Rain
4/16/2015,64,52,41,56,30.34,2,0,Rain
4/17/2015,68,56,46,57,30.25,3,0,
4/18/2015,68,57,48,55,30.31,2,0,Rain
4/19/2015,69,58,46,56,30.13,2,0,
4/20/2015,73,60,48,50,29.91,2,0,Rain
4/21/2015,64,56,46,68,29.98,3,0.16,Rain
4/22/2015,62,52,43,62,30.14,5,0,
4/23/2015,55,50,46,64,29.89,7,0.1,Rain
4/24/2015,57,52,46,70,29.82,10,0.15,Rain
4/25/2015,57,52,46,62,29.98,2,0.01,
4/26/2015,61,52,42,62,30.2,5,0,
4/27/2015,78,66,53,66,30.14,6,0,Rain
4/28/2015,63,56,51,73,30.09,6,0.11,Rain
4/29/2015,64,56,48,64,30.24,6,0.01,
4/30/2015,64,57,50,57,30.25,5,0,
5/1/2015,64,59,54,58,30.06,4,0,
5/2/2015,66,58,51,51,30.05,4,0,
5/3/2015,69,57,45,49,29.96,3,0,
5/4/2015,64,55,46,59,29.93,6,0,
5/5/2015,62,54,48,68,30.05,8,0.18,Rain
5/6/2015,64,56,48,62,30.12,3,0,
5/7/2015,70,58,46,52,30.11,3,0,
5/8/2015,75,62,48,47,30.02,2,0,
5/9/2015,80,66,51,42,30.06,2,0,
5/10/2015,69,62,55,59,30.04,3,0,
5/11/2015,59,56,53,71,29.99,5,0,Rain
5/12/2015,62,58,55,75,29.85,4,0.11,Rain
5/13/2015,57,54,53,78,29.89,7,0.14,Rain
5/14/2015,66,60,53,72,29.9,1,0,
5/15/2015,69,60,53,69,29.88,2,0.01,
5/16/2015,62,58,55,67,29.99,6,0,
5/17/2015,69,62,55,64,30.06,2,0,
5/18/2015,78,66,55,56,30.05,3,0,
5/19/2015,75,65,57,67,30.07,2,0,
5/20/2015,73,64,54,68,29.96,4,0,
5/21/2015,81,68,57,57,29.85,2,0,
5/22/2015,64,60,57,70,29.99,6,0,
5/23/2015,64,59,55,70,30.16,5,0,Rain
5/24/2015,66,60,55,67,30.1,5,0,
5/25/2015,62,58,55,68,30.02,6,0,
5/26/2015,72,64,57,61,30.03,4,0,
5/27/2015,78,67,57,60,30.04,2,0,
5/28/2015,82,70,57,55,30.03,2,0,
5/29/2015,82,71,61,56,29.95,2,0,
5/30/2015,75,63,53,59,29.94,5,0,
5/31/2015,75,65,57,59,29.85,4,0,
6/1/2015,64,60,57,71,29.9,5,0.09,Rain
6/2/2015,66,60,57,68,30.02,8,0,
6/3/2015,69,62,57,62,30.06,5,0,
6/4/2015,73,65,57,53,30.11,3,0,
6/5/2015,80,68,57,48,30.08,3,0,
6/6/2015,84,72,59,46,30.01,3,0,
6/7/2015,88,74,61,43,30.01,4,0,
6/8/2015,86,73,60,44,29.97,3,0,
6/9/2015,86,72,61,36,29.92,3,0,
6/10/2015,81,68,55,51,29.96,5,0,
6/11/2015,79,66,55,55,30.1,5,0,
6/12/2015,70,64,57,52,30.16,5,0,
6/13/2015,75,64,52,49,30.07,3,0,
6/14/2015,81,69,57,44,29.98,3,0,
6/15/2015,86,72,61,38,29.92,3,0,
6/16/2015,73,64,55,55,30.08,5,0,
6/17/2015,78,67,57,49,30.06,3,0,
6/18/2015,80,70,62,46,29.99,3,0,
6/19/2015,75,66,59,61,30.11,4,0.07,Rain
6/20/2015,77,66,57,44,30.06,4,0,
6/21/2015,81,70,60,44,29.93,4,0,
6/22/2015,78,67,57,53,30.08,5,0,
6/23/2015,81,68,55,47,30.11,2,0,
6/24/2015,79,72,66,47,30.07,2,0,
6/25/2015,88,76,64,47,30.11,2,0,
6/26/2015,88,76,66,51,30.04,5,0,
6/27/2015,91,78,66,44,29.94,3,0,
6/28/2015,82,76,70,49,29.94,2,0,"Rain , Thunderstorm"
6/29/2015,88,78,69,54,29.97,4,0.01,Rain
6/30/2015,88,75,62,59,30.07,4,0,
7/1/2015,89,76,64,46,30,4,0,
7/2/2015,91,80,68,40,29.97,3,0,
7/3/2015,93,80,68,40,29.9,4,0,
7/4/2015,91,77,63,39,29.83,3,0,
7/5/2015,91,78,66,37,29.82,3,0,
7/6/2015,88,74,63,49,29.97,5,0,
7/7/2015,81,70,61,58,29.99,6,0,
7/8/2015,86,74,63,53,29.83,3,0,
7/9/2015,86,73,62,60,29.74,3,0,
7/10/2015,73,68,64,62,29.85,8,0,
7/11/2015,73,68,64,60,29.92,6,0,
7/12/2015,82,72,64,57,30,6,0,
7/13/2015,79,72,66,58,30.05,4,0,
7/14/2015,82,72,64,46,30.03,4,0,
7/15/2015,81,72,63,50,30.05,2,0,
7/16/2015,81,72,64,49,30.12,4,0,
7/17/2015,82,71,60,46,30.07,3,0,
7/18/2015,91,78,66,38,29.97,3,0,
7/19/2015,98,83,69,39,29.96,3,0,
7/20/2015,82,74,66,57,30.02,8,0,
7/21/2015,75,68,62,58,29.97,3,0.13,Rain
7/22/2015,77,68,61,55,29.92,4,0,
7/23/2015,81,71,62,51,29.97,2,0,
7/24/2015,77,67,59,60,30.06,6,0.01,Rain
7/25/2015,70,66,62,67,30.05,4,0.02,Rain
7/26/2015,73,66,60,66,30.07,2,0.1,Rain
7/27/2015,77,65,55,61,30.18,2,0.01,
7/28/2015,82,72,61,52,30.23,3,0,
7/29/2015,89,75,62,46,30.14,3,0,
7/30/2015,91,78,66,38,30.06,3,0,
7/31/2015,93,80,68,33,30.03,3,0,
8/1/2015,91,77,64,35,29.96,3,0,
8/2/2015,90,77,64,45,29.91,2,0,
8/3/2015,84,76,68,48,29.9,2,0,
8/4/2015,81,70,61,57,29.99,5,0,
8/5/2015,75,65,57,61,30.07,3,0,
8/6/2015,79,70,62,52,30.09,4,0,
8/7/2015,84,72,62,52,29.94,2,0,
8/8/2015,80,70,62,67,29.89,5,0,
8/9/2015,84,72,61,53,29.96,5,0,
8/10/2015,84,75,66,47,29.92,3,0,Rain
8/11/2015,87,76,66,47,29.93,3,0,
8/12/2015,84,75,66,52,29.94,2,0.04,"Rain , Thunderstorm"
8/13/2015,84,74,63,60,29.99,6,0,
8/14/2015,68,65,62,75,30.01,7,0.57,"Rain , Thunderstorm"
8/15/2015,72,66,60,65,30.22,7,0,
8/16/2015,78,68,60,58,30.21,3,0,
8/17/2015,81,70,60,53,30.1,2,0,
8/18/2015,84,74,64,53,30,3,0,
8/19/2015,91,78,64,49,29.88,2,0,
8/20/2015,75,68,61,64,29.92,7,0,
8/21/2015,75,66,60,56,29.98,6,0,
8/22/2015,79,68,57,55,30.05,2,0,
8/23/2015,82,70,59,49,29.95,1,0,
8/24/2015,77,66,57,51,30.03,4,0,
8/25/2015,78,68,57,45,30.05,2,0,
8/26/2015,84,71,60,44,29.99,1,0,
8/27/2015,87,74,62,41,30.02,3,0,
8/28/2015,75,70,64,56,29.9,6,0.01,Rain
8/29/2015,75,66,60,70,29.67,8,0.18,Rain
8/30/2015,72,65,59,75,29.9,8,0.24,Rain
8/31/2015,68,66,64,64,29.95,11,0.06,Rain
9/1/2015,68,64,62,76,29.84,9,0.17,Rain
9/2/2015,70,63,57,65,29.89,7,0.02,Rain
9/3/2015,69,60,53,65,30,3,0,
9/4/2015,66,60,54,68,30,2,0,
9/5/2015,69,58,48,68,30.09,5,0.06,Rain
9/6/2015,63,58,55,75,30.12,5,0.19,Rain
9/7/2015,73,66,59,66,30.18,1,0,
9/8/2015,75,67,59,67,30.11,6,0,
9/9/2015,78,69,60,64,30.07,2,0,
9/10/2015,75,68,61,67,30.08,3,0.01,
9/11/2015,82,72,62,60,30.03,2,0,
9/12/2015,81,71,62,60,29.99,2,0,
9/13/2015,72,66,59,69,29.95,4,0.03,Rain
9/14/2015,64,58,53,61,29.81,7,0,
9/15/2015,66,59,52,61,29.81,7,0,
9/16/2015,70,60,50,59,29.84,4,0.04,Rain
9/17/2015,68,62,57,77,29.94,3,0.58,Rain
9/18/2015,70,64,57,67,30.09,5,0.01,
9/19/2015,73,66,60,69,30.01,7,0,
9/20/2015,75,66,57,73,29.92,11,0.09,Rain
9/21/2015,66,60,55,61,30.04,2,0,
